Category,calories,total_fat,fiber,protein,carbohydrate,sugars
Vegetal,25,0.7,1.6,2.58,3.65,2.05
Vegetal,27,0.3,2.2,2.6,5.2,3.0
Vegetal,15,0.2,1.3,1.36,2.87,0.78
Vegetal,25,0.1,2.5,1.28,5.8,3.2
Vegetal,25,0.3,2.0,1.92,4.97,1.91
Vegetal,61,0.3,1.8,1.5,14.15,3.9
Vegetal,34,0.4,2.6,2.82,6.64,1.7
Vegetal,25,0.2,3.0,0.98,5.88,3.53
Vegetal,43,0.3,3.8,3.38,8.95,2.2
Vegetal,20,0.1,2.1,2.2,3.88,1.88
Vegetal,40,0.1,1.7,1.1,9.34,4.24
Vegetal,32,0.1,0.9,0.8,7.55,5.02
Vegetal,149,0.5,2.1,6.36,33.06,1.0
Vegetal,29,0.4,2.8,0.91,6.5,4.12
Vegetal,23,0.4,2.2,2.86,3.63,0.42
Vegetal,41,0.2,2.8,0.93,9.58,4.74
Vegetal,81,0.4,5.7,5.42,14.45,5.67
Vegetal,80,0.8,2.0,1.82,17.77,1.7
Vegetal,86,1.4,2.0,3.27,18.7,6.26
Vegetal,26,0.1,0.5,1.0,6.5,2.76
Vegetal,22,0.3,1.0,3.09,3.26,1.98
